"player","team","games","complete19","attempt19","pct19","complete29","attempt29","pct29","complete39","attempt39","pct39","complete49","attempt49","pct49","complete50","attempt50","pct50","epsMade","epsAttempt","epsPct","fantasyPts"
"Robbie Gould","SF","17","0","0","0","13","14","92.9","5","5","100","7","11","63.6","2","2","100","50","51","98","142"
"Matt Prater","ARZ","13","0","0","0","1","1","100","10","10","100","6","8","75","5","6","83.3","17","18","94.4","99"
"Nick Folk","NE","17","1","1","100","9","9","100","8","8","100","10","14","71.4","4","5","80","32","35","91.4","146"
"Mason Crosby","GB","17","0","0","0","10","10","100","8","8","100","6","7","85.7","1","4","25","37","39","94.9","120"
"Ryan Succop","TB","17","0","0","0","10","11","90.9","7","8","87.5","12","12","100","2","7","28.6","24","25","96","133"
"Graham Gano","NYG","17","0","0","0","2","2","100","9","10","90","10","11","90.9","8","9","88.9","32","34","94.1","145"
"Randy Bullock","TEN","15","0","0","0","5","5","100","5","5","100","6","8","75","1","2","50","28","28","100","87"
"Greg Zuerlein","NYJ","17","0","0","0","5","5","100","10","10","100","9","11","81.8","6","11","54.5","28","29","96.6","139"
"Justin Tucker","BLT","17","0","0","0","13","13","100","11","11","100","4","5","80","9","14","64.3","31","32","96.9","164"
"Dustin Hopkins","LAC","5","0","0","0","2","2","100","6","6","100","1","2","50","0","0","0","12","12","100","40"
"Brandon McManus","DEN","17","0","0","0","6","7","85.7","4","6","66.7","10","10","100","8","13","61.5","25","27","92.6","135"
"Brett Maher","DAL","17","0","0","0","9","9","100","5","5","100","6","7","85.7","9","11","81.8","50","53","94.3","161"
"Cairo Santos","CHI","16","0","0","0","4","4","100","7","7","100","6","7","85.7","4","5","80","27","32","84.4","104"
"Chris Boswell","PIT","12","0","0","0","4","4","100","4","5","80","5","10","50","7","9","77.8","18","18","100","97"
"Josh Lambo","TEN","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","75","3"
"Jason Myers","SEA","17","0","0","0","9","9","100","15","16","93.8","4","6","66.7","6","6","100","41","42","97.6","159"
"Wil Lutz","NO","17","0","0","0","6","6","100","9","11","81.8","4","8","50","4","6","66.7","33","33","100","114"
"Ka'imi Fairbairn","HST","17","0","0","0","7","7","100","7","8","87.5","9","10","90","6","6","100","24","24","100","132"
"Taylor Bertolet","LAC","2","0","0","0","3","3","100","0","0","0","0","0","0","0","0","0","6","6","100","15"
"Jake Elliott","PHI","16","0","0","0","6","6","100","8","9","88.9","1","2","50","5","6","83.3","51","53","96.2","122"
"Harrison Butker","KC","13","0","0","0","7","7","100","4","5","80","4","5","80","3","7","42.9","38","41","92.7","102"
"Younghoe Koo","ATL","17","0","0","0","9","9","100","7","7","100","9","10","90","7","11","63.6","33","35","94.3","152"
"Tristan Vizcaino","NE","1","0","0","0","0","0","0","1","1","100","1","1","100","0","0","0","3","3","100","10"
"Austin Seibert","DET","3","0","0","0","0","0","0","1","1","100","2","3","66.7","0","1","0","12","12","100","23"
"Greg Joseph","MIN","17","0","0","0","10","10","100","5","5","100","7","8","87.5","4","10","40","40","46","87","133"
"Daniel Carlson","LV","16","0","0","0","9","9","100","11","11","100","3","4","75","11","13","84.6","35","36","97.2","162"
"Jason Sanders","MIA","17","0","0","0","5","6","83.3","7","7","100","12","13","92.3","2","6","33.3","41","44","93.2","135"
"Tyler Bass","BUF","16","0","0","0","4","4","100","11","13","84.6","10","11","90.9","2","3","66.7","48","50","96","143"
"Chase McLaughlin","IND","15","0","0","0","7","7","100","5","6","83.3","9","11","81.8","9","12","75","21","21","100","138"
"Dominik Eberle","DET","1","0","0","0","0","0","0","0","0","0","1","1","100","0","0","0","2","4","50","6"
"Rodrigo Blankenship","ARZ","2","0","0","0","2","2","100","0","0","0","1","2","50","1","1","100","4","5","80","19"
"Matt Ammendola","ARZ","4","1","1","100","3","3","100","1","2","50","0","1","0","0","0","0","5","7","71.4","20"
"Joey Slye","WAS","16","1","1","100","8","8","100","4","5","80","8","10","80","4","6","66.7","24","28","85.7","115"
"Michael Badgley","DET","13","0","0","0","6","7","85.7","7","7","100","9","11","81.8","2","3","66.7","33","33","100","118"
"Matthew Wright","KC","6","0","0","0","1","1","100","6","7","85.7","6","8","75","2","2","100","15","15","100","70"
"Eddy Pineiro","CAR","17","0","0","0","2","2","100","16","17","94.1","13","14","92.9","2","2","100","30","32","93.8","146"
"Mitch Wishnowsky","SF","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","50","1"
"Caleb Shudak","TEN","1","0","0","0","1","1","100","2","3","66.7","0","0","0","0","0","0","1","1","100","10"
"Riley Patterson","JAX","17","0","0","0","8","8","100","10","11","90.9","10","13","76.9","2","3","66.7","36","37","97.3","140"
"Matt Gay","LA","17","0","0","0","9","9","100","8","8","100","4","4","100","7","9","77.8","31","32","96.9","133"
"Nick Sciba","PIT","1","0","0","0","1","1","100","1","1","100","0","0","0","0","0","0","1","1","100","7"
"Cameron Dicker","LAC","11","0","0","0","7","7","100","7","7","100","7","7","100","0","1","0","24","24","100","94"
"Evan McPherson","CIN","16","1","1","100","5","6","83.3","4","4","100","9","13","69.2","5","5","100","40","44","90.9","131"
"Cade York","CLV","17","0","0","0","5","5","100","9","12","75","6","8","75","4","7","57.1","35","37","94.6","121"